"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.099097420E0,6.778330420E1,2.482353630E1,2.395821122E2,NaN,NaN,2.288100052E1,2.961455345E0
2.219962031E0,6.778322466E1,2.482353467E1,2.498027569E2,6.700000167E-1,2.513999939E2,4.715608120E0,7.415028572E0
3.219929530E0,6.778321911E1,2.482348839E1,2.467225754E2,7.400000095E-1,2.687999878E2,3.790092468E0,5.033890724E0
4.220078384E0,6.778321333E1,2.482348456E1,2.434788711E2,7.500000000E-1,2.692000122E2,3.790092468E0,4.122825623E0
5.220259582E0,6.778322042E1,2.482346109E1,2.428801935E2,9.499999881E-1,3.148999939E2,3.790092468E0,3.738217592E0
6.220335935E0,6.778322520E1,2.482343991E1,2.424730523E2,8.899999857E-1,3.197999878E2,3.790092468E0,3.395139456E0
7.219655154E0,6.778322893E1,2.482342459E1,2.437345609E2,6.700000167E-1,3.252000122E2,3.790092468E0,3.392962456E0
8.219791716E0,6.778323426E1,2.482341566E1,2.430245156E2,6.200000048E-1,3.277000122E2,3.790092468E0,2.689599752E0
9.219756351E0,6.778323597E1,2.482340782E1,2.436928372E2,0.000000000E0,NaN,3.790092468E0,2.541852474E0
1.021991557E1,6.778323441E1,2.482340048E1,2.436837378E2,0.000000000E0,NaN,3.790092468E0,2.623836279E0
1.122045067E1,6.778323355E1,2.482339697E1,2.436916092E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.222000578E1,6.778323311E1,2.482339516E1,2.437065617E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.321957619E1,6.778323288E1,2.482339422E1,2.437206602E2,0.000000000E0,NaN,3.790092468E0,2.852902412E0
1.421967817E1,6.778323275E1,2.482339369E1,2.437276179E2,0.000000000E0,NaN,3.790092468E0,3.000272274E0
1.522046442E1,6.778323268E1,2.482339344E1,2.437314020E2,0.000000000E0,NaN,3.790092468E0,2.882549524E0
1.622041869E1,6.778323261E1,2.482339330E1,2.437359186E2,0.000000000E0,NaN,3.790092468E0,2.594745636E0
1.721958505E1,6.778323259E1,2.482339326E1,2.437434869E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.821977161E1,6.778323261E1,2.482339338E1,2.437552058E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.922018380E1,6.778323256E1,2.482339344E1,2.437536801E2,0.000000000E0,NaN,3.790092468E0,2.556692362E0
2.021984530E1,6.778323254E1,2.482339345E1,2.437697324E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.122005843E1,6.778323285E1,2.482338027E1,2.442532364E2,3.600000143E-1,2.872000122E2,3.790092468E0,2.500000000E0
2.221982432E1,6.778323364E1,2.482336491E1,2.447344173E2,6.100000143E-1,3.120000000E2,3.790092468E0,2.500000000E0
2.322013020E1,6.778323982E1,2.482334891E1,2.453410730E2,7.500000000E-1,3.267000122E2,3.790092468E0,2.500000000E0
2.421953317E1,6.778324724E1,2.482333411E1,2.457956277E2,8.000000119E-1,3.337000122E2,3.790092468E0,2.500000000E0
2.521958905E1,6.778325306E1,2.482332180E1,2.457673399E2,6.899999976E-1,3.342000122E2,3.790092468E0,2.500000000E0
2.622043494E1,6.778325853E1,2.482330909E1,2.462353904E2,6.499999762E-1,3.293999939E2,3.790092468E0,2.500000000E0
2.722016431E1,6.778326430E1,2.482330005E1,2.457176658E2,7.300000191E-1,3.435000000E2,3.790092468E0,2.500000000E0
2.822018624E1,6.778327151E1,2.482329776E1,2.457695870E2,7.900000215E-1,3.507000122E2,3.790092468E0,2.500000000E0
2.922011223E1,6.778327881E1,2.482329163E1,2.458276069E2,9.300000072E-1,3.387999878E2,3.790092468E0,2.500000000E0
3.022042723E1,6.778328461E1,2.482328396E1,2.457732627E2,8.399999738E-1,3.332999878E2,3.790092468E0,2.500000000E0
3.121964608E1,6.778329053E1,2.482327735E1,2.455635241E2,8.399999738E-1,3.437000122E2,3.790092468E0,2.500000000E0
3.221958770E1,6.778329747E1,2.482327466E1,2.450956090E2,8.700000048E-1,3.547999878E2,3.790092468E0,2.500000000E0
3.321979785E1,6.778330577E1,2.482327639E1,2.449032087E2,9.599999785E-1,3.547999878E2,3.790092468E0,2.500000000E0
3.421987082E1,6.778331393E1,2.482327913E1,2.449033148E2,9.700000286E-1,2.099999905E0,3.790092468E0,2.500000000E0
3.522007337E1,6.778332171E1,2.482328091E1,2.445658962E2,8.999999762E-1,1.399999976E0,3.790092468E0,2.500000000E0
3.621989363E1,6.778333020E1,2.482327855E1,2.445337689E2,1.000000000E0,3.552000122E2,3.790092468E0,2.500000000E0
3.721982165E1,6.778334023E1,2.482327666E1,2.444469510E2,1.120000005E0,1.000000000E0,3.790092468E0,2.500000000E0
3.888488872E1,6.778350130E1,2.482371370E1,2.423818780E2,NaN,NaN,2.727099991E1,3.419764996E0
3.978440603E1,6.778339494E1,2.482326165E1,2.417267722E2,8.500000238E-1,3.033999939E2,4.066535473E0,2.849363089E0
4.078422993E1,6.778339514E1,2.482325270E1,2.402860262E2,1.169999957E0,3.122999878E2,3.790092468E0,2.500000000E0
4.178392712E1,6.778340634E1,2.482323971E1,2.416639750E2,1.389999986E0,3.138999939E2,3.790092468E0,2.500000000E0
4.278349228E1,6.778342201E1,2.482321679E1,2.421167304E2,1.379999995E0,3.038999939E2,3.790092468E0,2.500000000E0
4.378363488E1,6.778342549E1,2.482319628E1,2.425657943E2,1.039999962E0,3.050000000E2,3.790092468E0,2.500000000E0
4.478400045E1,6.778343314E1,2.482316546E1,2.445440109E2,1.149999976E0,3.002999878E2,3.790092468E0,2.500000000E0
4.578345983E1,6.778343793E1,2.482313691E1,2.440529376E2,1.269999981E0,2.933999939E2,3.790092468E0,2.500000000E0
4.678362878E1,6.778344167E1,2.482310452E1,2.443354828E2,1.289999962E0,2.872000122E2,3.790092468E0,2.500000000E0
4.778376889E1,6.778344360E1,2.482307404E1,2.439720995E2,1.240000010E0,2.803999939E2,3.790092468E0,2.500000000E0
4.878339300E1,6.778344499E1,2.482304458E1,2.428553618E2,1.259999990E0,2.807999878E2,3.790092468E0,2.500000000E0
4.978353686E1,6.778344627E1,2.482301561E1,2.430359271E2,1.230000019E0,2.788999939E2,3.790092468E0,2.500000000E0
5.078380847E1,6.778344764E1,2.482298648E1,2.432232669E2,1.279999971E0,2.798999939E2,3.790092468E0,2.500000000E0
5.178398712E1,6.778344852E1,2.482295783E1,2.431208136E2,1.269999981E0,2.777000122E2,3.790092468E0,2.500000000E0
5.278421904E1,6.778345044E1,2.482292921E1,2.432339950E2,1.279999971E0,2.820000000E2,3.790092468E0,2.500000000E0
5.378429925E1,6.778345355E1,2.482289882E1,2.433210485E2,1.330000043E0,2.875000000E2,3.790092468E0,2.500000000E0
5.478366462E1,6.778345632E1,2.482286885E1,2.431307595E2,1.309999943E0,2.772999878E2,3.790092468E0,2.500000000E0
5.578391930E1,6.778345899E1,2.482283734E1,2.430649196E2,1.309999943E0,2.802999878E2,3.790092468E0,2.500000000E0
5.678417659E1,6.778346236E1,2.482280674E1,2.431948800E2,1.360000014E0,2.850000000E2,3.790092468E0,2.500000000E0
5.778349175E1,6.778346342E1,2.482277541E1,2.437683263E2,1.360000014E0,2.712000122E2,3.790092468E0,2.500000000E0
5.878412784E1,6.778346442E1,2.482274348E1,2.437814083E2,1.389999986E0,2.728999939E2,3.790092468E0,2.500000000E0
5.978349331E1,6.778346569E1,2.482270872E1,2.439891884E2,1.330000043E0,2.737000122E2,3.790092468E0,2.500000000E0
6.078371472E1,6.778346792E1,2.482267409E1,2.441070616E2,1.330000043E0,2.785000000E2,3.790092468E0,2.500000000E0
6.178380826E1,6.778347152E1,2.482263864E1,2.440055703E2,1.419999957E0,2.821000061E2,3.790092468E0,2.500000000E0
6.278402685E1,6.778347422E1,2.482260760E1,2.438908417E2,1.269999981E0,2.781000061E2,3.790092468E0,2.500000000E0
6.378420024E1,6.778347563E1,2.482257863E1,2.435096392E2,1.190000057E0,2.745000000E2,3.790092468E0,2.500000000E0
6.478338904E1,6.778347729E1,2.482255140E1,2.437939045E2,1.200000048E0,2.817000122E2,3.790092468E0,2.500000000E0
6.578353628E1,6.778348313E1,2.482252568E1,2.434618287E2,1.320000052E0,2.973999939E2,3.790092468E0,2.500000000E0
6.678340711E1,6.778348886E1,2.482249915E1,2.434827185E2,1.230000019E0,2.881000061E2,3.790092468E0,2.500000000E0
6.778364961E1,6.778349211E1,2.482247097E1,2.426117054E2,1.240000010E0,2.808999939E2,3.790092468E0,2.500000000E0
6.878382013E1,6.778349376E1,2.482244069E1,2.423830886E2,1.230000019E0,2.732999878E2,3.790092468E0,2.500000000E0
6.978401247E1,6.778349548E1,2.482240733E1,2.423339114E2,1.340000033E0,2.801000061E2,3.790092468E0,2.500000000E0
7.078342070E1,6.778349853E1,2.482237482E1,2.416695586E2,1.360000014E0,2.805000000E2,3.790092468E0,2.500000000E0
7.178381654E1,6.778349996E1,2.482234401E1,2.417037591E2,1.299999952E0,2.717000122E2,3.790092468E0,2.500000000E0
7.278427028E1,6.778350058E1,2.482231641E1,2.414627578E2,1.230000019E0,2.735000000E2,3.790092468E0,2.500000000E0
7.378337190E1,6.778350129E1,2.482228918E1,2.414790810E2,1.159999967E0,2.752000122E2,3.790092468E0,2.500000000E0
7.478384414E1,6.778350138E1,2.482226214E1,2.412958209E2,1.230000019E0,2.701000061E2,3.790092468E0,2.500000000E0
7.578404383E1,6.778350183E1,2.482223321E1,2.409049161E2,1.240000010E0,2.750000000E2,3.790092468E0,2.500000000E0
7.678428799E1,6.778350269E1,2.482220256E1,2.408393256E2,1.289999962E0,2.717999878E2,3.790092468E0,2.500000000E0
7.778360752E1,6.778350340E1,2.482217050E1,2.405073764E2,1.330000043E0,2.801000061E2,3.790092468E0,2.500000000E0
7.878384096E1,6.778350401E1,2.482213825E1,2.401163452E2,1.309999943E0,2.751000061E2,3.790092468E0,2.500000000E0
7.978377664E1,6.778350413E1,2.482210429E1,2.398924273E2,1.299999952E0,2.801000061E2,3.790092468E0,2.500000000E0
8.078429492E1,6.778350515E1,2.482207096E1,2.397951560E2,1.259999990E0,2.812000122E2,3.790092468E0,2.500000000E0
8.178386445E1,6.778350493E1,2.482203839E1,2.396402714E2,1.250000000E0,2.707000122E2,3.790092468E0,2.500000000E0
8.278336096E1,6.778350515E1,2.482200836E1,2.395278081E2,1.169999957E0,2.802999878E2,3.790092468E0,2.500000000E0
8.378357523E1,6.778350727E1,2.482197874E1,2.392726408E2,1.289999962E0,2.836000061E2,3.790092468E0,2.500000000E0
8.478425830E1,6.778350870E1,2.482194694E1,2.390341960E2,1.299999952E0,2.752999878E2,3.790092468E0,2.500000000E0
8.578391377E1,6.778351053E1,2.482191618E1,2.386317501E2,1.259999990E0,2.802999878E2,3.790092468E0,2.500000000E0
8.678352424E1,6.778351366E1,2.482188797E1,2.388649243E2,1.210000038E0,2.831000061E2,3.790092468E0,2.500000000E0
8.778403590E1,6.778351661E1,2.482185650E1,2.389022332E2,1.419999957E0,2.808999939E2,3.790092468E0,2.500000000E0
8.878370392E1,6.778352018E1,2.482182589E1,2.381879548E2,1.360000014E0,2.886000061E2,3.790092468E0,2.500000000E0
8.978407049E1,6.778352300E1,2.482179391E1,2.378648508E2,1.360000014E0,2.790000000E2,3.790092468E0,2.500000000E0
9.078409689E1,6.778352330E1,2.482176047E1,2.374533721E2,1.360000014E0,2.651000061E2,3.790092468E0,2.500000000E0
9.178402694E1,6.778352367E1,2.482172592E1,2.372099216E2,1.440000057E0,2.745000000E2,3.790092468E0,2.500000000E0
